2020-11-14 11:00:34,386 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,397 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,397 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,398 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,398 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,399 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,399 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,400 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,400 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,401 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,402 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,402 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,403 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,404 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,404 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,405 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,406 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,406 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,407 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,414 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,415 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,416 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,416 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,417 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,417 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,417 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,418 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,418 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,418 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,418 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,419 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,419 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,419 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,420 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,420 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,420 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,421 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,428 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,429 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,429 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,429 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,430 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,430 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,430 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,431 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,432 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,432 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,433 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,433 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,434 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,434 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,434 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,435 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,435 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,435 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,445 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,446 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,447 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,447 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,448 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,449 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,449 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,450 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,450 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,451 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,451 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,451 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,452 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,452 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,452 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,453 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,453 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,453 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,460 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,461 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,461 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,462 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,463 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,463 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,463 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,463 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,463 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,464 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,464 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,465 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,465 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,465 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,466 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,466 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,466 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,466 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,475 - ERROR - 4.1, generic error - database connection failed
